Resource Name,Resource Type,Environment,Resource Group,Region,Purpose,Status,Priority,Owner,Est. Cost/Month,Notes
rg-network-rewn-prod-cin,Resource Group,Production,N/A,CIN,Networking,Planned,High,Network Admin,0,Primary networking RG
rg-network-rewn-dev-cin,Resource Group,Development,N/A,CIN,Networking,Planned,Medium,Network Admin,0,Dev networking RG
rg-aks-rewn-prod-cin,Resource Group,Production,N/A,CIN,AKS Compute,Planned,High,K8s Admin,0,Production AKS RG
rg-aks-rewn-dev-cin,Resource Group,Development,N/A,CIN,AKS Compute,Planned,Medium,K8s Admin,0,Dev AKS RG
rg-db-rewn-prod-cin,Resource Group,Production,N/A,CIN,Databases,Planned,High,DBA,0,Production databases RG
rg-db-rewn-dev-cin,Resource Group,Development,N/A,CIN,Databases,Planned,Medium,DBA,0,Dev databases RG
rg-storage-rewn-prod-cin,Resource Group,Production,N/A,CIN,Storage,Planned,High,Storage Admin,0,Production storage RG
rg-storage-rewn-dev-cin,Resource Group,Development,N/A,CIN,Storage,Planned,Medium,Storage Admin,0,Dev storage RG
rg-security-rewn-prod-cin,Resource Group,Production,N/A,CIN,Security,Planned,High,Security Officer,0,Production security RG
rg-monitor-rewn-prod-cin,Resource Group,Production,N/A,CIN,Monitoring,Planned,High,Monitoring Admin,0,Production monitoring RG
rg-shared-rewn-prod-cin,Resource Group,Production,N/A,CIN,Shared Services,Planned,High,Infra Lead,0,Shared services RG
vnet-hub-rewn-prod-cin,Virtual Network,Production,rg-network-rewn-prod-cin,CIN,Hub VNet,Planned,High,Network Admin,50,Hub network for spoke connectivity
vnet-spoke-rewn-prod-cin,Virtual Network,Production,rg-network-rewn-prod-cin,CIN,Prod Spoke VNet,Planned,High,Network Admin,50,Production spoke VNet
vnet-spoke-rewn-dev-cin,Virtual Network,Development,rg-network-rewn-dev-cin,CIN,Dev Spoke VNet,Planned,Medium,Network Admin,25,Development spoke VNet
snet-appgw-prod-cin,Subnet,Production,rg-network-rewn-prod-cin,CIN,Application Gateway,Planned,High,Network Admin,0,10.10.0.0/24
snet-aks-prod-cin,Subnet,Production,rg-network-rewn-prod-cin,CIN,AKS Nodes,Planned,High,K8s Admin,0,10.10.1.0/22
snet-db-prod-cin,Subnet,Production,rg-network-rewn-prod-cin,CIN,Database PE,Planned,High,Network Admin,0,10.10.5.0/24
snet-storage-prod-cin,Subnet,Production,rg-network-rewn-prod-cin,CIN,Storage PE,Planned,High,Network Admin,0,10.10.6.0/24
snet-pe-prod-cin,Subnet,Production,rg-network-rewn-prod-cin,CIN,Private Endpoints,Planned,High,Network Admin,0,10.10.7.0/24
snet-bastion-prod-cin,Subnet,Production,rg-network-rewn-prod-cin,CIN,Bastion,Planned,High,Network Admin,0,10.10.8.0/27
afw-rewn-prod-cin,Azure Firewall,Production,rg-network-rewn-prod-cin,CIN,Firewall,Planned,High,Security Officer,500,Centralized firewall control
afwp-rewn-prod-cin,Firewall Policy,Production,rg-network-rewn-prod-cin,CIN,Firewall Policy,Planned,High,Security Officer,0,Firewall rules and policies
nat-rewn-prod-cin,NAT Gateway,Production,rg-network-rewn-prod-cin,CIN,NAT Gateway,Planned,High,Network Admin,45,Outbound connectivity
pip-nat-rewn-prod-cin,Public IP,Production,rg-network-rewn-prod-cin,CIN,NAT Public IP,Planned,High,Network Admin,3,Public IP for NAT
rt-prod-cin,Route Table,Production,rg-network-rewn-prod-cin,CIN,Routing,Planned,High,Network Admin,0,Network routing rules
bastion-rewn-prod-cin,Azure Bastion,Production,rg-network-rewn-prod-cin,CIN,Bastion Host,Planned,High,Network Admin,20,Jump host for SSH/RDP access
ddos-rewn-prod-cin,DDoS Plan,Production,rg-network-rewn-prod-cin,CIN,DDoS Protection,Planned,High,Security Officer,2000,DDoS attack protection
nsg-appgw-prod-cin,NSG,Production,rg-network-rewn-prod-cin,CIN,App Gateway Security,Planned,High,Security Officer,0,Application Gateway NSG rules
nsg-aks-prod-cin,NSG,Production,rg-network-rewn-prod-cin,CIN,AKS Security,Planned,High,K8s Admin,0,AKS cluster NSG rules
nsg-db-prod-cin,NSG,Production,rg-network-rewn-prod-cin,CIN,Database Security,Planned,High,DBA,0,Database NSG rules
nsg-storage-prod-cin,NSG,Production,rg-network-rewn-prod-cin,CIN,Storage Security,Planned,High,Storage Admin,0,Storage account NSG rules
nsg-pe-prod-cin,NSG,Production,rg-network-rewn-prod-cin,CIN,Private Endpoint Security,Planned,High,Network Admin,0,Private endpoint NSG rules
nsg-bastion-prod-cin,NSG,Production,rg-network-rewn-prod-cin,CIN,Bastion Security,Planned,High,Network Admin,0,Bastion NSG rules
kv-rewn-prod-cin,Key Vault,Production,rg-security-rewn-prod-cin,CIN,Secrets Management,Planned,High,Security Officer,5,Centralized secret storage
id-rewn-aks-prod-cin,Managed Identity,Production,rg-aks-rewn-prod-cin,CIN,AKS Identity,Planned,High,K8s Admin,0,AKS service principal
aks-rewn-prod-cin,AKS Cluster,Production,rg-aks-rewn-prod-cin,CIN,Container Platform,Planned,High,K8s Admin,1000,Production Kubernetes cluster
aks-rewn-dev-cin,AKS Cluster,Development,rg-aks-rewn-dev-cin,CIN,Container Platform,Planned,Medium,K8s Admin,300,Dev Kubernetes cluster
acrrewnprodcin,Container Registry,Production,rg-storage-rewn-prod-cin,CIN,Container Images,Planned,High,DevOps,50,Private container registry
systempool,Node Pool,Production,rg-aks-rewn-prod-cin,CIN,System Nodes,Planned,High,K8s Admin,200,System component nodes
