CATEGORY	RESOURCE TYPE	RESOURCE NAME	RESOURCE GROUP
Resource Groups	azurerm_resource_group	rg-network-rewn-prod-cin	rg-network-rewn-prod-cin
Resource Groups	azurerm_resource_group	rg-aks-rewn-prod-cin	rg-aks-rewn-prod-cin
Resource Groups	azurerm_resource_group	rg-db-rewn-prod-cin	rg-db-rewn-prod-cin
Resource Groups	azurerm_resource_group	rg-storage-rewn-prod-cin	rg-storage-rewn-prod-cin
Resource Groups	azurerm_resource_group	rg-security-rewn-prod-cin	rg-security-rewn-prod-cin
Resource Groups	azurerm_resource_group	rg-monitor-rewn-prod-cin	rg-monitor-rewn-prod-cin
Resource Groups	azurerm_resource_group	rg-compute-rewn-prod-cin	rg-compute-rewn-prod-cin
Networking	azurerm_virtual_network	vnet-hub-rewn-prod-cin	rg-network-rewn-prod-cin
Networking	azurerm_virtual_network	vnet-spoke-rewn-prod-cin	rg-network-rewn-prod-cin
Networking	azurerm_subnet	snet-appgw-rewn-cin	rg-network-rewn-prod-cin
Networking	azurerm_subnet	snet-aks-prod-cin	rg-network-rewn-prod-cin
Networking	azurerm_subnet	snet-db-prod-cin	rg-network-rewn-prod-cin
Networking	azurerm_subnet	snet-storage-prod-cin	rg-network-rewn-prod-cin
Networking	azurerm_subnet	snet-pe-prod-cin	rg-network-rewn-prod-cin
Networking	azurerm_subnet	snet-bastion-prod-cin	rg-network-rewn-prod-cin
Networking	azurerm_network_security_group	nsg-appgw-rewn-cin	rg-network-rewn-prod-cin
Networking	azurerm_network_security_group	nsg-aks-prod-cin	rg-network-rewn-prod-cin
Networking	azurerm_network_security_group	nsg-db-prod-cin	rg-network-rewn-prod-cin
Networking	azurerm_network_security_group	nsg-storage-prod-cin	rg-network-rewn-prod-cin
Networking	azurerm_network_security_group	nsg-pe-prod-cin	rg-network-rewn-prod-cin
Networking	azurerm_network_security_group	nsg-bastion-prod-cin	rg-network-rewn-prod-cin
Networking	azurerm_subnet_network_security_group_association	appgw-nsg-assoc	rg-network-rewn-prod-cin
Networking	azurerm_subnet_network_security_group_association	aks-nsg-assoc	rg-network-rewn-prod-cin
Networking	azurerm_subnet_network_security_group_association	database-nsg-assoc	rg-network-rewn-prod-cin
Networking	azurerm_subnet_network_security_group_association	storage-nsg-assoc	rg-network-rewn-prod-cin
Networking	azurerm_subnet_network_security_group_association	pe-nsg-assoc	rg-network-rewn-prod-cin
Networking	azurerm_subnet_network_security_group_association	bastion-nsg-assoc	rg-network-rewn-prod-cin
Networking	azurerm_virtual_network_peering	hub-to-spoke-peering	rg-network-rewn-prod-cin
Networking	azurerm_public_ip	pip-nat-gw-1	rg-network-rewn-prod-cin
